epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.81855,1.74472,3.06492,1.30625,0.00353,0.93182,0.21477,0.04839,1.67034,3.20334,1.15742,0.00042,0.00042,0.00042
2,12.0025,1.53795,1.63773,1.13288,0.00361,0.93182,0.04891,0.03555,1.83025,3.1208,1.42359,0.000851486,0.000851486,0.000851486
3,16.7876,1.60963,1.51987,1.22581,0.00053,0.15909,0.00031,0.00012,2.07693,10.2125,2.04615,0.00127426,0.00127426,0.00127426
4,21.2168,1.55952,1.37114,1.24982,0.00444,0.45455,0.004,0.00159,1.96028,9.46583,1.9732,0.00168832,0.00168832,0.00168832
5,25.6154,1.52987,1.26373,1.22317,0.71157,0.44872,0.59532,0.28979,1.68856,2.05727,1.83026,0.0019208,0.0019208,0.0019208
6,30.21,1.51458,1.32237,1.21479,0.56841,0.34091,0.42365,0.17537,1.7996,2.22864,1.67245,0.001901,0.001901,0.001901
7,34.3317,1.46967,1.17357,1.19612,0.01465,0.61364,0.01252,0.00535,1.81251,41.7338,1.58062,0.0018812,0.0018812,0.0018812
8,39.1332,1.5028,1.17421,1.19658,0.21241,0.61295,0.1707,0.06654,1.94932,5.90749,1.68266,0.0018614,0.0018614,0.0018614
9,43.5799,1.48976,1.1418,1.22384,0.44667,0.55047,0.48018,0.22657,1.79092,2.31627,1.54961,0.0018416,0.0018416,0.0018416
10,47.7474,1.50636,1.11118,1.20372,0.77686,0.65909,0.67151,0.26753,1.90336,1.61097,1.62747,0.0018218,0.0018218,0.0018218
11,52.2812,1.52084,1.11509,1.20875,0.74736,0.70455,0.75577,0.36271,1.66555,1.23969,1.45289,0.001802,0.001802,0.001802
12,56.7711,1.45653,1.05987,1.14409,0.69968,0.79545,0.76221,0.33579,1.77143,1.30875,1.57488,0.0017822,0.0017822,0.0017822
13,60.9732,1.38657,1.033,1.15455,0.63,0.52273,0.61224,0.27742,2.00818,1.65604,1.57671,0.0017624,0.0017624,0.0017624
14,65.5524,1.37302,0.95031,1.1214,0.85266,0.81818,0.89727,0.46288,1.61129,1.12781,1.495,0.0017426,0.0017426,0.0017426
15,70.608,1.34397,0.95378,1.14708,0.90722,0.72727,0.85767,0.43339,1.60477,1.20331,1.43304,0.0017228,0.0017228,0.0017228
16,75.8676,1.34131,0.90926,1.141,0.75524,0.77273,0.82055,0.42238,1.64717,1.17506,1.45293,0.001703,0.001703,0.001703
17,80.5978,1.32697,0.90414,1.1481,0.82267,0.79545,0.83612,0.42009,1.67912,1.08769,1.45326,0.0016832,0.0016832,0.0016832
18,85.018,1.35739,0.92823,1.13043,0.73692,0.82773,0.8507,0.43678,1.56312,1.26797,1.43927,0.0016634,0.0016634,0.0016634
19,89.0228,1.3042,0.86504,1.0987,0.88074,0.75,0.80479,0.41567,1.67782,1.09949,1.47651,0.0016436,0.0016436,0.0016436
20,93.199,1.31807,0.87311,1.13901,0.83496,0.79545,0.85773,0.46537,1.66032,1.1388,1.45903,0.0016238,0.0016238,0.0016238
21,97.2125,1.28819,0.85407,1.11783,0.8761,0.80363,0.86087,0.48016,1.5156,0.98468,1.37223,0.001604,0.001604,0.001604
22,100.982,1.29693,0.83207,1.12193,0.83644,0.84091,0.84633,0.49641,1.4398,1.01861,1.3509,0.0015842,0.0015842,0.0015842
23,105.044,1.31645,0.85423,1.10594,0.83708,0.86364,0.8798,0.47519,1.54884,1.0065,1.38071,0.0015644,0.0015644,0.0015644
24,109.347,1.26673,0.79268,1.09471,0.85753,0.79545,0.87331,0.47219,1.46825,0.95948,1.37914,0.0015446,0.0015446,0.0015446
25,113.046,1.28721,0.80438,1.13346,0.88329,0.86364,0.8841,0.48009,1.49721,0.95085,1.36198,0.0015248,0.0015248,0.0015248
26,116.939,1.25607,0.78939,1.09362,0.9192,0.79545,0.88662,0.47229,1.55719,0.90094,1.40171,0.001505,0.001505,0.001505
27,120.881,1.24144,0.77356,1.09413,0.89617,0.86364,0.90931,0.50705,1.47959,0.99612,1.3451,0.0014852,0.0014852,0.0014852
28,124.776,1.2338,0.79953,1.07945,0.89516,0.7763,0.83771,0.43578,1.66277,0.98771,1.42235,0.0014654,0.0014654,0.0014654
29,128.644,1.28725,0.79188,1.10751,0.9187,0.77056,0.85127,0.44879,1.63411,0.98091,1.39902,0.0014456,0.0014456,0.0014456
30,132.652,1.17622,0.76469,1.06274,0.97156,0.86364,0.92614,0.49928,1.61451,0.93169,1.36256,0.0014258,0.0014258,0.0014258
31,136.499,1.1855,0.71229,1.07002,0.90372,0.85342,0.86483,0.47429,1.5413,0.92175,1.38013,0.001406,0.001406,0.001406
32,140.655,1.18975,0.72967,1.09595,0.9398,0.88636,0.89055,0.51216,1.48086,0.92077,1.30697,0.0013862,0.0013862,0.0013862
