epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,159.68,1.12663,0.67593,1.02115,0.9412,0.88636,0.92205,0.51691,1.48357,0.81592,1.27299,0.0011882,0.0011882,0.0011882
43,163.182,1.0924,0.64223,1.02388,0.89661,0.90909,0.92653,0.51657,1.55557,0.84449,1.35787,0.0011684,0.0011684,0.0011684
44,166.996,1.09879,0.67386,1.04395,0.90896,0.90909,0.93036,0.5146,1.51833,0.86789,1.34756,0.0011486,0.0011486,0.0011486
45,170.758,1.04202,0.63946,1.01377,0.8692,0.93182,0.92853,0.51967,1.4577,0.82425,1.3044,0.0011288,0.0011288,0.0011288
46,174.286,1.09548,0.67921,1.00813,0.86279,0.86364,0.91285,0.522,1.45833,0.76023,1.29057,0.001109,0.001109,0.001109
47,178.024,1.09883,0.66818,1.00731,0.81561,0.90483,0.86995,0.50323,1.46632,0.79407,1.31346,0.0010892,0.0010892,0.0010892
48,181.763,1.10051,0.66468,1.03702,0.83098,0.88636,0.91376,0.5108,1.42101,0.78437,1.26425,0.0010694,0.0010694,0.0010694
49,185.23,1.1021,0.64032,1.02474,0.90455,0.86156,0.904,0.50706,1.45399,0.85625,1.29188,0.0010496,0.0010496,0.0010496
50,189.012,1.07395,0.64568,1.01974,0.89613,0.84091,0.88573,0.5004,1.49862,0.79316,1.28465,0.0010298,0.0010298,0.0010298
51,192.698,1.08058,0.65666,1.04061,0.88507,0.87521,0.90572,0.52677,1.40081,0.75438,1.25751,0.00101,0.00101,0.00101
52,196.237,1.03222,0.65507,1.00345,0.88455,0.88636,0.87949,0.51779,1.45032,0.79079,1.26554,0.0009902,0.0009902,0.0009902
53,200.355,0.98874,0.59485,0.97626,0.93287,0.81818,0.88753,0.49639,1.48372,0.82755,1.29507,0.0009704,0.0009704,0.0009704
54,204.406,1.03722,0.62192,0.99864,0.88781,0.90909,0.93292,0.50898,1.51667,0.75103,1.30973,0.0009506,0.0009506,0.0009506
55,207.914,1.0168,0.62315,0.99806,0.9435,0.90909,0.93969,0.51025,1.50891,0.7266,1.30025,0.0009308,0.0009308,0.0009308
56,211.717,1.03274,0.60627,1.00145,0.83885,0.88636,0.91277,0.53086,1.41096,0.73123,1.27729,0.000911,0.000911,0.000911
57,215.384,1.00073,0.61934,1.00508,0.90754,0.86364,0.93195,0.51982,1.48735,0.74252,1.27642,0.0008912,0.0008912,0.0008912
58,218.906,1.03513,0.61316,0.99975,0.90624,0.87882,0.92228,0.50505,1.52476,0.79175,1.3,0.0008714,0.0008714,0.0008714
59,222.795,1.05092,0.63735,1.02191,0.87731,0.88636,0.90089,0.5126,1.46256,0.80281,1.2855,0.0008516,0.0008516,0.0008516
60,226.583,0.99356,0.58838,0.97674,0.8554,0.93182,0.91888,0.51734,1.41962,0.84515,1.27099,0.0008318,0.0008318,0.0008318
61,229.984,0.98371,0.59273,0.98487,0.88265,0.90909,0.91534,0.52233,1.47987,0.77183,1.29546,0.000812,0.000812,0.000812
62,233.874,0.99405,0.57921,0.99075,0.86647,0.95455,0.94015,0.53904,1.48784,0.72245,1.33674,0.0007922,0.0007922,0.0007922
63,237.612,0.94909,0.5709,0.98042,0.9047,0.95455,0.94481,0.56222,1.41308,0.69352,1.31522,0.0007724,0.0007724,0.0007724
64,241.123,0.97124,0.57593,0.97967,0.84778,0.90909,0.90668,0.54638,1.39619,0.74179,1.2681,0.0007526,0.0007526,0.0007526
65,245.004,0.97315,0.55967,0.9864,0.90628,0.87922,0.91982,0.56197,1.40707,0.72144,1.30375,0.0007328,0.0007328,0.0007328
66,248.884,0.97506,0.6023,0.97409,0.88788,0.90001,0.90052,0.54356,1.45316,0.73526,1.29416,0.000713,0.000713,0.000713
67,252.343,0.94697,0.57108,0.98411,0.86317,0.88636,0.89463,0.50578,1.4932,0.81504,1.28151,0.0006932,0.0006932,0.0006932
68,256.084,0.92511,0.56252,0.96564,0.7972,0.90909,0.90097,0.53554,1.43839,0.8174,1.29742,0.0006734,0.0006734,0.0006734
69,259.898,0.92512,0.55138,0.9964,0.90987,0.91782,0.93699,0.54182,1.48429,0.73018,1.32665,0.0006536,0.0006536,0.0006536
70,263.451,0.89962,0.53878,0.95761,0.86999,0.88636,0.92895,0.54232,1.43947,0.73511,1.27937,0.0006338,0.0006338,0.0006338
71,267.116,0.94983,0.56585,0.98455,0.85147,0.86364,0.85048,0.52263,1.44941,0.85629,1.27815,0.000614,0.000614,0.000614
72,271.067,0.98393,0.55668,0.9803,0.87951,0.88636,0.91235,0.51648,1.49365,0.74061,1.29334,0.0005942,0.0005942,0.0005942
73,274.675,0.9316,0.54792,0.96789,0.88456,0.90909,0.9098,0.54595,1.44725,0.75619,1.27339,0.0005744,0.0005744,0.0005744
74,278.411,0.90682,0.53794,0.95812,0.90054,0.90909,0.91416,0.53696,1.41445,0.70935,1.27972,0.0005546,0.0005546,0.0005546
75,282.169,0.97458,0.57447,0.99863,0.88498,0.90909,0.92785,0.56692,1.35177,0.70882,1.24296,0.0005348,0.0005348,0.0005348
76,285.68,0.91807,0.55198,0.96535,0.8847,0.90909,0.92885,0.55281,1.41427,0.74468,1.26908,0.000515,0.000515,0.000515
77,289.345,0.86878,0.52396,0.94308,0.8858,0.88152,0.91163,0.52074,1.47617,0.72627,1.28331,0.0004952,0.0004952,0.0004952
78,293.237,0.89159,0.53668,0.96111,0.91585,0.90909,0.91694,0.53363,1.4458,0.71277,1.28176,0.0004754,0.0004754,0.0004754
79,296.741,0.9143,0.53049,0.95177,0.88869,0.90909,0.92363,0.53739,1.46144,0.74565,1.29779,0.0004556,0.0004556,0.0004556
80,300.461,0.88306,0.52539,0.97113,0.86908,0.88636,0.93016,0.54237,1.51002,0.73558,1.30956,0.0004358,0.0004358,0.0004358
81,304.235,0.91451,0.53315,0.96573,0.87414,0.90909,0.93385,0.59187,1.38443,0.68626,1.25989,0.000416,0.000416,0.000416
82,307.818,0.90552,0.54448,0.96325,0.90753,0.88636,0.93186,0.56685,1.39343,0.70126,1.26632,0.0003962,0.0003962,0.0003962
83,311.448,0.86979,0.51644,0.94672,0.86736,0.89177,0.92802,0.55131,1.42231,0.69681,1.26775,0.0003764,0.0003764,0.0003764
84,315.24,0.88502,0.52831,0.95338,0.9034,0.90909,0.92456,0.55696,1.36133,0.6757,1.25359,0.0003566,0.0003566,0.0003566
85,318.891,0.85795,0.50954,0.95511,0.90018,0.90909,0.92475,0.54692,1.36019,0.67253,1.24415,0.0003368,0.0003368,0.0003368
86,322.643,0.83514,0.49829,0.94013,0.89048,0.90909,0.92438,0.55047,1.37199,0.68452,1.23918,0.000317,0.000317,0.000317
87,326.404,0.83394,0.50715,0.9341,0.89097,0.92869,0.93195,0.56913,1.37871,0.65387,1.22458,0.0002972,0.0002972,0.0002972
88,330.116,0.85056,0.50759,0.9459,0.88891,0.90909,0.93626,0.56358,1.38372,0.6622,1.24948,0.0002774,0.0002774,0.0002774
89,333.674,0.8467,0.51555,0.94852,0.89462,0.90909,0.93547,0.57157,1.37783,0.70356,1.26156,0.0002576,0.0002576,0.0002576
90,337.449,0.8097,0.48702,0.92693,0.87006,0.90909,0.93209,0.56019,1.38382,0.72609,1.23973,0.0002378,0.0002378,0.0002378
91,368.312,1.07071,0.63103,1.02584,0.86815,0.90909,0.93445,0.57189,1.38454,0.68891,1.24826,0.000218,0.000218,0.000218
92,372.067,1.03951,0.56467,1.0303,0.84164,0.90909,0.91925,0.56464,1.44289,0.69941,1.27132,0.0001982,0.0001982,0.0001982
93,375.516,1.03691,0.56304,1.03094,0.89187,0.88636,0.92605,0.56992,1.41338,0.69698,1.26656,0.0001784,0.0001784,0.0001784
94,378.929,1.0545,0.54856,1.0348,0.91063,0.93182,0.9285,0.58296,1.37346,0.67719,1.24681,0.0001586,0.0001586,0.0001586
95,382.753,1.04908,0.54572,1.02867,0.89086,0.93182,0.92425,0.5731,1.36736,0.65813,1.2307,0.0001388,0.0001388,0.0001388
96,386.417,1.00483,0.53603,1.00244,0.90555,0.93182,0.92483,0.58701,1.35737,0.63292,1.22783,0.000119,0.000119,0.000119
97,390.075,0.98779,0.51,0.99163,0.92637,0.93182,0.92476,0.58419,1.35294,0.63489,1.23304,9.92e-05,9.92e-05,9.92e-05
98,393.872,0.98364,0.52446,1.00646,0.9068,0.93182,0.92352,0.57996,1.36011,0.64277,1.23532,7.94e-05,7.94e-05,7.94e-05
99,397.515,1.01063,0.5186,1.0106,0.90725,0.93182,0.92715,0.58918,1.35409,0.63852,1.23317,5.96e-05,5.96e-05,5.96e-05
100,401.331,1.00312,0.53044,1.01033,0.90598,0.93182,0.92646,0.57732,1.35656,0.63515,1.23134,3.98e-05,3.98e-05,3.98e-05
